Area,mnemonic,2016,2017,2018,2019,2020,2021,2022
ualad19:Basingstoke and Deane,E07000084,178352,179083,179828,181396,183125,185713,187817
ualad19:East Hampshire,E07000085,118817,119451,120647,122154,123725,126192,127319
ualad19:Eastleigh,E07000086,128808,129386,130517,132175,134090,136963,138935
ualad19:Fareham,E07000087,115102,115232,115115,114879,114777,114952,114547
ualad19:Gosport,E07000088,84476,84246,83700,83022,82588,82169,82285
ualad19:Hart,E07000089,95560,96322,97022,97727,98299,100262,100910
ualad19:Havant,E07000090,123043,123836,124100,124099,124018,124467,124854
ualad19:New Forest,E07000091,177855,177616,177525,177111,175937,176217,175942
ualad19:Rushmoor,E07000092,99385,99590,99372,99756,100140,100096,101060
ualad19:Test Valley,E07000093,124155,125250,126474,127652,128858,131158,132871
ualad19:Winchester,E07000094,122844,123771,123877,124407,125754,127921,130268
ualad19:Ashford,E07000105,126327,128049,129701,130466,131431,133221,135610
ualad19:Canterbury,E07000106,157280,157944,157256,157109,157187,156631,157550
ualad19:Dartford,E07000107,105905,108372,110818,113928,115572,116819,118820
ualad19:Dover,E07000108,113365,114335,115148,115902,116134,116549,117473
ualad19:Gravesham,E07000109,106823,106543,106726,107348,107146,106883,106970
ualad19:Maidstone,E07000110,165953,168115,169974,171816,173272,176697,180428
ualad19:Sevenoaks,E07000111,118289,118489,119165,119575,120051,120823,121106
ualad19:Folkestone and Hythe,E07000112,109235,109095,109728,109659,109587,110040,110237
ualad19:Swale,E07000113,145184,146846,148400,149753,150584,152218,154619
ualad19:Thanet,E07000114,140373,140680,140848,140624,139945,140658,140689
ualad19:Tonbridge and Malling,E07000115,127090,128680,130149,131502,131791,132363,133661
ualad19:Tunbridge Wells,E07000116,115198,115559,114940,115158,115271,115650,116028
ualad19:Cherwell,E07000177,150819,152329,154367,156447,158435,161830,164155
ualad19:Oxford,E07000178,160119,160754,161342,160789,160064,160379,163257
ualad19:South Oxfordshire,E07000179,141511,142115,143019,144875,146844,150002,151820
ualad19:Vale of White Horse,E07000180,128387,130701,132875,135040,136889,139400,142116
ualad19:West Oxfordshire,E07000181,109705,110289,110656,111362,112534,115116,116928
ualad19:Elmbridge,E07000207,136974,136936,136863,137098,138098,139453,140024
ualad19:Epsom and Ewell,E07000208,79386,79862,80121,80685,81197,81006,81184
ualad19:Guildford,E07000209,142891,143294,142384,142328,142732,144013,145673
ualad19:Mole Valley,E07000210,87642,87296,87064,86762,86924,87599,87769
ualad19:Reigate and Banstead,E07000211,145621,146545,147887,149048,149545,151497,153629
ualad19:Runnymede,E07000212,84725,84920,85538,86660,87200,87830,88524
ualad19:Spelthorne,E07000213,100461,100819,101151,102062,102304,103036,103551
ualad19:Surrey Heath,E07000214,89397,89537,89550,90544,90457,90653,91237
ualad19:Tandridge,E07000215,85901,86457,86525,86923,87248,88127,88707
ualad19:Waverley,E07000216,124949,125138,125159,125691,126260,128880,130063
ualad19:Woking,E07000217,104233,104299,104510,104423,103882,103900,104179
ualad19:Adur,E07000223,63947,64144,64230,64580,64550,64632,64688
ualad19:Arun,E07000224,159363,161338,162647,163310,163661,165219,166366
ualad19:Chichester,E07000225,119711,121442,122185,122815,123032,124517,126103
ualad19:Crawley,E07000226,114243,115083,116472,117144,117793,118607,119509
ualad19:Horsham,E07000227,138257,139862,141468,142932,144377,147500,148696
ualad19:Mid Sussex,E07000228,147001,147679,148966,150027,150877,152919,154930
ualad19:Worthing,E07000229,109346,109989,110280,110932,111064,111654,112044
ualad19:Bath and North East Somerset,E06000022,185507,186894,189489,190176,191974,192419,195618
"ualad19:Bournemouth, Christchurch and Poole",E06000058,397066,399374,400064,400182,399564,400155,401898
"ualad19:Bristol, City of",E06000023,459588,463113,467026,469920,471851,471285,479024
ualad19:Cornwall,E06000052,551203,556921,559961,563695,565045,571948,575413
ualad19:Isles of Scilly,E06000053,2236,2170,2166,2098,2030,2271,2281
ualad19:North Somerset,E06000024,212660,213701,214360,215540,215850,217385,219145
ualad19:Plymouth,E06000026,264440,265294,265689,265041,264830,264768,266862
ualad19:South Gloucestershire,E06000025,275808,278379,281719,284563,287182,290886,294765
ualad19:Swindon,E06000030,224498,227680,230174,231934,232574,233760,235657
ualad19:Torbay,E06000027,136172,137329,138100,138754,138695,139440,139479
ualad19:Wiltshire,E06000054,492706,497177,498703,502985,507047,513240,515885
ualad19:East Devon,E07000040,140917,143284,145151,147346,148592,152065,154500
ualad19:Exeter,E07000041,123347,124817,125758,126312,127345,129527,134939
ualad19:Mid Devon,E07000042,79448,80054,80858,81434,82130,83171,83786
ualad19:North Devon,E07000043,94407,95356,96052,97325,97622,99398,100505
ualad19:South Hams,E07000044,84554,85183,85874,86458,87371,89161,89812
ualad19:Teignbridge,E07000045,129668,131572,132707,133965,133869,135189,135952
ualad19:Torridge,E07000046,66512,67529,67787,67837,67631,68444,68635
ualad19:West Devon,E07000047,54947,55557,55647,55865,56236,57480,58190
ualad19:Dorset,E06000059,372416,374675,375604,377699,377670,381245,383274
ualad19:Cheltenham,E07000078,118953,119303,119600,119459,118924,118838,119434
ualad19:Cotswold,E07000079,85994,87540,88814,89632,89824,91076,91311
